eps,I_adapt,abs_error,eval_count
0.01,1219.8160538383017,0.0005826497276757436,45
0.001,1219.8166188675937,1.7620435755816288e-05,81
0.0001,1219.8166363801301,1.07899268186884e-07,145
1e-05,1219.8166365009624,1.293301465921104e-08,261
1e-06,1219.8166364873014,7.280505087692291e-10,405
1e-07,1219.8166364880924,6.298250809777528e-11,709
1e-08,1219.8166364880296,2.2737367544323206e-13,1337
1e-09,1219.8166364880294,0.0,2445
1e-10,1219.8166364880294,0.0,4617
1e-11,1219.8166364880294,0.0,8297
1e-12,1219.8166364880294,0.0,12821
